week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-06-01,topcv,PLC,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Page Object Model,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Phân Tích Nhu Cầu Khách Hàng Và Đề Xuất Giải Pháp Phù Hợp,VND,1,25000000,25000000,25000000
2026-06-01,topcv,Phân Tích Tài Liệu,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Phân tích,VND,1,14500000,14500000,14500000
2026-06-01,topcv,Phần mềm AI,VND,2,32500000,32500000,32500000
2026-06-01,topcv,PostgreSQL,VND,1,40000000,40000000,40000000
2026-06-01,topcv,PostgresSQL,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Pubsub,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Python,VND,3,17500000,17500000,18500000
2026-06-01,topcv,Quản Lý Dự Án,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Quản Lý Dự Án It,VND,1,15000000,15000000,15000000
2026-06-01,topcv,Quản Lý Rủi Ro,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Quản Lý Sản Phẩm,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Quản Lý Tiến Độ,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Quản Lý Tài Khoản,VND,1,25000000,25000000,25000000
2026-06-01,topcv,Quản lý thời gian,VND,1,22500000,22500000,22500000
2026-06-01,topcv,ROS,VND,1,18500000,18500000,18500000
2026-06-01,topcv,RPC,VND,2,17500000,17500000,17500000
2026-06-01,topcv,React,VND,1,30000000,30000000,30000000
2026-06-01,topcv,Redis,VND,1,40000000,40000000,40000000
2026-06-01,topcv,SLAM,VND,1,18500000,18500000,18500000
2026-06-01,topcv,SQL,VND,2,17000000,11500000,22500000
2026-06-01,topcv,SVN,VND,1,18500000,18500000,18500000
2026-06-01,topcv,SaaS,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Sql Cơ Bản,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Swift,VND,1,40000000,40000000,40000000
2026-06-01,topcv,Sử dụng công cụ quản lý lỗi,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Sử dụng phần mềm mastercam,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Test Levels,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Test Techniques,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Test design,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Thiết Kế Test Case,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Thuyết trình,VND,3,32500000,25000000,32500000
2026-06-01,topcv,Thành thạo tin học văn phòng,VND,1,12500000,12500000,12500000
2026-06-01,topcv,Thực Hiện Test Case,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Trách Nhiệm,VND,1,14500000,14500000,14500000
2026-06-01,topcv,TypeScript,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Tư Duy Phân Tích,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Tư duy logic,VND,1,14500000,14500000,14500000
2026-06-01,topcv,UI/UX,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Vi điều khiển (Arduino,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Visio,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Viết test cases,VND,1,11500000,11500000,11500000
